Longitude,Latitude
-117.136493,32.821962
-122.514654,37.980014
-119.717151,34.4294
-119.731953,36.725279
-122.398785,37.789208
-117.710594,34.106137
-122.18717,37.802654
-124.0814,40.8741
-121.316401,38.011051
-122.183972,37.881794
-118.471764,34.128099
-117.772634,34.10086
-122.269745,37.804788
-117.497071,33.908834
-118.517422,34.38214
-118.415655,33.970633
-122.181444,37.452906
-122.18789,37.782639
-121.896813,36.599827
-118.480471,34.082112
-117.244243,32.909469
-122.284618,37.517501
-118.210783,34.126224
-117.88573,33.87616
-122.449639,38.57409
-121.307296,37.980624
-118.707677,34.041912
-117.705939,34.103408
-117.251204,32.713295
-117.711944,34.098298
-117.163847,34.063571
-117.071228,32.77525
-117.188721,32.77142
-122.477905,37.721345
-122.450977,37.775564
-121.881214,37.335201
-121.938189,37.352706
-117.711336,34.103655
-122.333048,40.61331
-122.106795,37.83997
-122.673261,38.341023
-117.900911,33.662686
-118.283858,34.021058
-119.087141,34.429009
-119.661932,34.449265
-118.028402,33.977625
-118.340692,34.209226
-122.182212,37.431746
-118.384651,33.98764
-119.695655,34.418961
-117.768624,33.655684
-117.158013,33.129115
-117.734893,33.549425
-121.799216,36.653724
-115.492718,32.672361
-119.04356,34.162949
-118.082964,34.045985
-118.118491,34.17275
-105.880943,37.477238
-104.999181,39.74603
-104.800296,38.892735
-105.267061,40.004415
-105.094836,39.711701
-104.82422,38.84657
-105.227148,39.75079
-105.08083,40.574759
-104.94118,39.691571
-104.964625,39.695954
-107.867003,37.275428
-108.540281,39.076354
-105.002391,39.742248
-105.267073,40.014816
-104.701721,40.403178
-105.031385,39.78976
-104.579846,38.309219
-106.91971,38.547421
-104.905511,39.747969
-104.760241,38.840858
-72.923848,41.332519
-73.189352,41.165587
-72.770094,41.690258
-72.767972,41.688246
-72.107321,41.379833
-72.249519,41.808205
-72.218753,41.721673
-73.25778,41.160732
-72.673916,41.773462
-72.714965,41.796485
-72.095337,41.328075
-72.961472,41.291314
-72.895542,41.419527
-73.24461,41.221548
